item_id,item_name,brand,desc_item,i_type,likes,dislikes,exp_date,spm_id,cost,department,size
52,"semper erat, in",Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,7/27/2020,1,97.44,GROCERY,56 OZ
53,"iaculis quis,",Private,FRESH,DINNER SAUSAGE,,,4/6/2021,1,67.09,MEAT-PCKGD,18 OZ
54,vel nisl.,Private,MISCELLANEOUS CHEESE,CHEESE,,,3/13/2021,1,96.96,GROCERY,20 OZ
55,amet ornare lectus justo,Private,FROZEN FRUIT,FRZN FRUITS,,,2/23/2021,1,71.03,GROCERY,16 OZ
56,Nam consequat dolor vitae dolor.,Private,SEAFOOD-FRZ-RAW FILLETS,SEAFOOD - FROZEN,,,5/31/2021,1,1.66,SEAFOOD-PCKGD,14 OZ
57,Vestibulum,Private,AMMONIA,HOUSEHOLD CLEANG NEEDS,,,4/2/2021,1,76.77,GROCERY,1/2 GAL
58,egestas. Fusce aliquet magna,Private,SW GDS: MUFFINS,BREAKFAST SWEETS,,,12/23/2020,1,30.34,PASTRY,10.8 OZ
59,"auctor quis,",Private,SEAFOOD-FRZ-IQF RAW SHRIMP RW,SEAFOOD - FROZEN,,,11/1/2020,1,91.54,SEAFOOD-PCKGD,12 OZ
60,"risus. Quisque libero lacus, varius",Private,FREEZER BAGS,FD WRAPS/BAGS/TRSH BG,,,11/7/2020,1,53.62,GROCERY,20 CT
61,Pellentesque habitant morbi,Private,GELATIN,DRY MIX DESSERTS,,,4/21/2021,1,48.16,GROCERY,.3 OZ
62,lobortis mauris. Suspendisse,Private,GELATIN,DRY MIX DESSERTS,,,7/3/2020,1,19.15,GROCERY,.3 OZ
63,eleifend,Private,GELATIN,DRY MIX DESSERTS,,,8/9/2020,1,11.51,GROCERY,.3 OZ
64,"urna convallis erat, eget",Private,MACARONI & CHEESE DNRS,DINNER MXS:DRY,,,1/19/2021,1,30.53,GROCERY,12 OZ
65,"faucibus id, libero. Donec consectetuer",Private,PICKLES,PICKLE/RELISH/PKLD VEG,,,4/29/2021,1,69.16,GROCERY,16 OZ
66,"varius et,",Private,CAKES: LAYERS,CAKES,,,2/6/2021,1,26.47,PASTRY,8IN/22 OZ
67,libero. Proin sed turpis nec,Private,BROWNIE MIX,BAKING MIXES,,,7/30/2020,1,42.31,GROCERY,10.25 OZ
68,"placerat eget,",Private,AMMONIA,HOUSEHOLD CLEANG NEEDS,,,7/16/2020,1,14.83,GROCERY,.5 GAL
69,lorem,Private,PLASTIC TRASH BAGS,FD WRAPS/BAGS/TRSH BG,,,5/8/2021,1,51.35,GROCERY,10 CT
70,et ultrices posuere cubilia,Private,SKILLET DINNERS,DINNER MXS:DRY,,,5/13/2021,1,53.17,GROCERY,6.2 OZ
71,vitae velit egestas,Private,POTATOES RUSSET (BULK&BAG),POTATOES,,,5/20/2021,1,81.86,PRODUCE,10 LB BAG
72,"semper, dui lectus rutrum urna,",Private,FRESH,DINNER SAUSAGE,,,6/6/2021,1,15.02,MEAT-PCKGD,18 OZ
73,Sed,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,1/28/2021,1,93.57,GROCERY,20 OZ
74,"fermentum vel, mauris.",Private,FLUID MILK WHITE ONLY,FLUID MILK PRODUCTS,,,4/20/2021,1,51.18,GROCERY,1 QT
75,"Quisque imperdiet, erat nonummy ultricies",Private,CONDENSED SOUP,SOUP,,,6/3/2021,1,44.3,GROCERY,10.75 OZ
76,eget massa. Suspendisse eleifend. Cras,Private,SWEET GOODS - FULL SIZE,BAKED SWEET GOODS,,,7/30/2020,1,34.28,GROCERY,12 OZ
77,tellus. Aenean egestas hendrerit,Private,POTATOES RUSSET (BULK&BAG),POTATOES,,,8/15/2020,1,96.57,PRODUCE,10 LB BAG
78,"non, feugiat nec, diam. Duis",Private,DINNER ROLLS,BAKED BREAD/BUNS/ROLLS,,,4/14/2021,1,99.72,GROCERY,12CT/11 OZ
79,augue id,Private,NATURAL CHEESE EXACT WT CHUNKS,CHEESE,,,3/27/2021,1,50.38,GROCERY,8OZ
80,ut erat. Sed nunc,Private,SKILLET DINNERS,DINNER MXS:DRY,,,1/11/2021,1,23.68,GROCERY,6.4 OZ
81,mauris erat eget ipsum. Suspendisse,Private,COOKIES: REGULAR,COOKIES,,,12/16/2020,1,80.76,PASTRY, 
82,lectus ante dictum,Private,ABRASIVES,HOUSEHOLD CLEANG NEEDS,,,7/14/2020,1,70,GROCERY,24 OZ
83,ridiculus mus. Aenean eget magna.,Private,DINNER ROLLS,BAKED BREAD/BUNS/ROLLS,,,10/5/2020,1,26.28,GROCERY,11 OZ
84,tortor at risus. Nunc ac,National,NOODLE SIDE DISH MIXES,DRY BN/VEG/POTATO/RICE,,,9/4/2020,1,74.59,GROCERY,4.7 OZ
85,mauris id sapien. Cras,Private,PAPER AND FOAM DRINKING CUPS,PAPER HOUSEWARES,,,2/6/2021,1,31.09,GROCERY,51 CT
86,tincidunt tempus risus.,Private,PAPER NAPKINS,FACIAL TISS/DNR NAPKIN,,,10/28/2020,1,78.16,GROCERY,250 CT
87,Pellentesque,National,RICE SIDE DISH MIXES DRY,DRY BN/VEG/POTATO/RICE,,,10/30/2020,1,53.35,GROCERY,4.3 OZ
88,per inceptos,Private,VINEGAR ALL-EXCEPT WINE/RIC,CONDIMENTS/SAUCES,,,10/7/2020,1,37.95,GROCERY,16 OZ
89,Nullam,Private,SEAFOOD-FRZ-RAW FILLETS,SEAFOOD - FROZEN,,,5/3/2021,1,82.08,SEAFOOD-PCKGD,12 OZ
90,Mauris blandit enim consequat purus.,Private,SNACKS/APPETIZERS,FROZEN PIZZA,,,9/15/2020,1,3.29,GROCERY,20 OZ
91,sit amet lorem semper,Private,EGGS - X-LARGE,EGGS,,,2/25/2021,1,99.09,GROCERY,A D   1 DZ
92,Integer vitae nibh. Donec,National,REFRIGERATED COOKIES-CHUB,REFRGRATD DOUGH PRODUCTS,,,12/15/2020,1,8.75,GROCERY,16.5 OZ
93,nulla. Donec non justo. Proin,National,STRING CHEESE,CHEESE,,,7/21/2020,1,46.18,GROCERY,AB    8 OZ
94,dui. Cras pellentesque.,Private,EGGS - MEDIUM,EGGS,,,2/11/2021,1,4.33,GROCERY,ABD   1 DZ
95,neque vitae semper,Private,STANDARD OATMEAL,HOT CEREAL,,,11/16/2020,1,84,GROCERY,42 OZ
96,"mollis. Phasellus libero mauris, aliquam",Private,SPICES & SEASONINGS,SPICES & EXTRACTS,,,12/28/2020,1,4.77,GROCERY,.56 OZ
97,"orci, adipiscing non,",National,STRING CHEESE,CHEESE,,,5/20/2021,1,50.89,GROCERY,AB    8 OZ
98,dictum augue malesuada,Private,ADULT CEREAL,COLD CEREAL,,,7/31/2020,1,39.31,GROCERY,17.3 OZ
99,pede.,Private,SUGAR,SUGARS/SWEETNERS,,,3/28/2021,1,10,GROCERY,16 OZ
100,lorem ac risus. Morbi metus.,Private,FRZN BAGGED VEGETABLES - PLAIN,FRZN VEGETABLE/VEG DSH,,,9/12/2020,1,46.65,GROCERY,16 OZ
101,"eget,",Private,SALMON,SEAFOOD - SHELF STABLE,,,3/23/2021,1,6.57,GROCERY,14.75 OZ
102,"egestas a, scelerisque",National,NOODLE SIDE DISH MIXES,DRY BN/VEG/POTATO/RICE,,,8/2/2020,1,87.46,GROCERY,4.7 OZ
103,ante blandit viverra.,National,ALL FAMILY CEREAL,COLD CEREAL,,,9/6/2020,1,66.76,GROCERY,14 OZ
104,"lorem, auctor quis, tristique ac,",Private,SEAFOOD-FRZ-IQF RAW SHRIMP RW,SEAFOOD - FROZEN,,,5/22/2021,1,13.7,SEAFOOD-PCKGD, 
105,"sed, facilisis",Private,POPCORN - MICROWAVE,POPCORN,,,12/6/2020,1,63.84,PRODUCE,10.5 OZ
106,sit,Private,SEAFOOD-FRZ-RAW FILLETS,SEAFOOD - FROZEN,,,4/12/2021,1,66.78,SEAFOOD-PCKGD,14 OZ
107,"Nulla tincidunt, neque vitae semper",Private,LOAF CHEESE,CHEESE,,,10/22/2020,1,64.8,GROCERY,32 OZ
108,"Aliquam auctor, velit eget",Private,TOMATO JUICE (OVER 50% JCE),CANNED JUICES,,,7/17/2020,1,81.72,GROCERY,46 OZ
109,"Fusce diam nunc, ullamcorper eu,",Private,SCHOOL SUPPLIES,STATIONERY & SCHOOL SUPPLIES,,,3/16/2021,1,22.6,DRUG GM,1 CT
110,ipsum. Donec sollicitudin adipiscing,Private,SPINACH & GREENS,VEGETABLES - SHELF STABLE,,,2/7/2021,1,19.58,GROCERY,7.75 OZ
111,et ipsum,Private,COLD AND FLU - PSE,COLD AND FLU,,,11/16/2020,1,16.03,DRUG GM,10 OZ
112,velit. Sed malesuada,Private,MAINSTREAM WHEAT/MULTIGRAIN BR,BAKED BREAD/BUNS/ROLLS,,,2/27/2021,1,70.15,GROCERY,20 OZ
113,ornare tortor,National,FREEZER BAGS,FD WRAPS/BAGS/TRSH BG,,,2/2/2021,1,64.64,GROCERY,20 CT
114,"vitae, sodales at, velit.",Private,BABY POWDERS,BABY HBC,,,5/7/2021,1,80.11,DRUG GM,Q    15 OZ
115,"tempor, est ac mattis",National,RICE SIDE DISH MIXES DRY,DRY BN/VEG/POTATO/RICE,,,3/20/2021,1,6.81,GROCERY,6.5 OZ
116,"pharetra, felis eget varius",National,TORTILLA/NACHO CHIPS,BAG SNACKS,,,8/2/2020,1,60.16,GROCERY,13 OZ
117,porttitor scelerisque neque.,National,NOODLE SIDE DISH MIXES,DRY BN/VEG/POTATO/RICE,,,11/20/2020,1,87.46,GROCERY,6.2 OZ
118,"vitae, sodales at, velit.",Private,VARIETY BEANS - KIDNEY PINTO,BEANS - CANNED GLASS & MW,,,2/3/2021,1,27.49,GROCERY,15.25 OZ
119,mollis,National,PICKLES,PICKLE/RELISH/PKLD VEG,,,1/15/2021,1,91.15,GROCERY,16 OZ
120,"nec, leo.",Private,CANOLA OILS,SHORTENING/OIL,,,12/5/2020,1,91.95,GROCERY,48 OZ
121,"laoreet ipsum. Curabitur consequat, lectus",National,TOMATO SAUCE,VEGETABLES - SHELF STABLE,,,10/10/2020,1,18.83,GROCERY,29 OZ
122,Nullam vitae diam. Proin,National,NOODLE SIDE DISH MIXES,DRY BN/VEG/POTATO/RICE,,,11/26/2020,1,62.67,GROCERY,4.6 OZ
123,"laoreet ipsum. Curabitur consequat, lectus",Private,SNACKS/APPETIZERS,FROZEN PIZZA,,,7/18/2020,1,82.42,GROCERY,20 OZ
124,nec enim.,National,FRZN BREADED PREPARED CHICK,FROZEN MEAT,,,5/10/2021,1,97.04,MEAT-PCKGD,9 OZ
125,enim. Nunc ut,National,BAR SOAP,SOAP - LIQUID & BAR,,,3/19/2021,1,20.91,DRUG GM,4 OZ
126,"Mauris vestibulum, neque",Private,DIET/LIGHT BREAD,BAKED BREAD/BUNS/ROLLS,,,9/10/2020,1,38.15,GROCERY,16 OZ
127,morbi tristique senectus et,National,TORTILLA/NACHO CHIPS,BAG SNACKS,,,3/28/2021,1,83.62,GROCERY,11.5 OZ
128,"lobortis,",Private,FRZN BOXED VEGETABLES - PLAIN,FRZN VEGETABLE/VEG DSH,,,5/14/2021,1,48.23,GROCERY,10 OZ
129,gravida molestie arcu. Sed,Private,ROLLS: DINNER,ROLLS,,,10/1/2020,1,96.33,PASTRY, 
130,dapibus gravida.,National,HOT DOG BUNS,BAKED BREAD/BUNS/ROLLS,,,10/28/2020,1,76.28,GROCERY,10CT/17.5Z
131,Fusce fermentum fermentum,National,SOY BEVERAGE,NON-DAIRY BEVERAGES,,,3/12/2021,1,31.27,NUTRITION,33.8 OZ
132,tincidunt aliquam arcu. Aliquam ultrices,Private,GADGETS/TOOLS,KITCHEN GADGETS,,,8/26/2020,1,65.71,DRUG GM, 
133,tristique senectus,National,CHEESE CRACKERS (CHEEZ-ITS/GOL,CRACKERS/MISC BKD FD,,,10/17/2020,1,55.19,GROCERY,10 OZ
134,ipsum cursus vestibulum. Mauris,Private,CONDENSED SOUP,SOUP,,,10/22/2020,1,97.32,GROCERY,26 OZ
135,faucibus.,National,REFRIGERATED COOKIES-CHUB,REFRGRATD DOUGH PRODUCTS,,,5/10/2021,1,58.88,GROCERY,16.5 OZ
136,"bibendum sed, est.",National,FRUIT SNACKS,CONVENIENT BRKFST/WHLSM SNACKS,,,8/5/2020,1,58.19,GROCERY,6 OZ
137,justo eu arcu. Morbi sit,Private,PLASTIC/HEAVY PAPER PREM PLATE,PAPER HOUSEWARES,,,4/30/2021,1,89.27,GROCERY,22 CT
138,"sed,",National,KIDS CEREAL,COLD CEREAL,,,11/23/2020,1,17.44,GROCERY,11.25 OZ
139,nisi. Mauris nulla.,National,BUTTER SPRAY CRACKER (RITZ/CLU,CRACKERS/MISC BKD FD,,,2/13/2021,1,49.66,GROCERY,16 OZ
140,at,National,TORTILLA CHIPS,CHIPS&SNACKS,,,11/7/2020,1,22.68,NUTRITION,7 OZ
141,commodo tincidunt,National,SNACK CRACKERS,CRACKERS/MISC BKD FD,,,3/25/2021,1,25.22,GROCERY,9.5 OZ
142,tempus risus.,National,CORN,VEGETABLES - SHELF STABLE,,,1/13/2021,1,81.18,GROCERY,15.25 OZ
143,ipsum.,National,CANDY BARS (MULTI PACK),CANDY - PACKAGED,,,7/21/2020,1,29.31,DRUG GM,6 PK
144,eu,Private,SPECIALTY COOKIES,COOKIES/CONES,,,4/11/2021,1,85.17,GROCERY,14 OZ
145,Praesent eu dui. Cum sociis,Private,ROLLS: DINNER,ROLLS,,,3/5/2021,1,54.94,PASTRY, 
146,molestie tortor nibh sit amet,Private,BAGELS,BAKED BREAD/BUNS/ROLLS,,,1/2/2021,1,74.91,GROCERY,18 OZ
147,Sed auctor odio a purus.,National,SOFT DRINKS 12/18&15PK CAN CAR,SOFT DRINKS,,,5/17/2021,1,15.2,GROCERY,12 OZ
148,consectetuer,National,SHAMPOO,HAIR CARE PRODUCTS,,,9/1/2020,1,66.7,DRUG GM, 
149,ligula. Donec luctus aliquet,National,CANDY BARS (SINGLES)(INCLUDING,CANDY - CHECKLANE,,,5/19/2021,1,70.49,DRUG GM,1.55 OZ
150,aliquet. Phasellus fermentum,National,CANDY BARS (SINGLES)(INCLUDING,CANDY - CHECKLANE,,,5/2/2021,1,36.65,DRUG GM,2 OZ
151,penatibus,National,CHEESE CRACKERS (CHEEZ-ITS/GOL,CRACKERS/MISC BKD FD,,,12/2/2020,1,10.3,GROCERY,7 OZ
152,massa lobortis,Private,BAGELS,BAKED BREAD/BUNS/ROLLS,,,10/17/2020,1,44.78,GROCERY,@    18 OZ
153,ac turpis egestas. Fusce aliquet,National,APPLE JUICE & CIDER (OVER 50%,CANNED JUICES,,,10/14/2020,1,89.6,GROCERY,ALL  46 OZ
154,nascetur,National,BUTTER,BUTTER,,,7/7/2020,1,74.54,GROCERY,16 OZ
155,neque.,National,DRY BEANS/PEAS/BARLEY: BAG & B,DRY BN/VEG/POTATO/RICE,,,12/12/2020,1,23,GROCERY,20 OZ
156,"libero et tristique pellentesque, tellus",National,CANDY BARS (SINGLES)(INCLUDING,CANDY - CHECKLANE,,,7/3/2020,1,83.23,DRUG GM,1.55 OZ
157,enim.,National,FRZN SS PREMIUM ENTREES/DNRS/T,FRZN MEAT/MEAT DINNERS,,,8/8/2020,1,87.69,GROCERY,10 OZ
158,ipsum,National,SNACK CRACKERS,CRACKERS/MISC BKD FD,,,4/26/2021,1,38.11,GROCERY,10 OZ
159,ut,Private,CORN OIL,SHORTENING/OIL,,,5/6/2021,1,33.55,GROCERY,48 OZ
160,massa.,National,MENS HAIR SPRAYS/TONICS/CREAMS,SHAVING CARE PRODUCTS,,,9/8/2020,1,15.23,DRUG GM, 
161,orci. Ut,Private,COOKIES: REGULAR,COOKIES,,,1/8/2021,1,8.19,PASTRY, 
162,"non, hendrerit id, ante. Nunc",Private,BAGELS,BAKED BREAD/BUNS/ROLLS,,,1/10/2021,1,27.09,GROCERY,@    18 OZ
163,sociosqu,National,TOOLS - FLOOR & FURNITURE,HOUSEHOLD CLEANG NEEDS,,,3/24/2021,1,14.16,GROCERY,1 KIT
164,vel,National,MISCELLANEOUS CANDY (INCLUDING,CANDY - PACKAGED,,,10/20/2020,1,37.33,DRUG GM,7 OZ
165,"Nunc mauris sapien, cursus in,",National,ADULT CEREAL,COLD CEREAL,,,5/15/2021,1,56.7,GROCERY,17.25 OZ
166,vitae diam. Proin,Private,BUTTER,BUTTER,,,2/26/2021,1,32.96,GROCERY,16 OZ
167,sem ut dolor dapibus gravida.,Private,SWEET GOODS - FULL SIZE,BAKED SWEET GOODS,,,12/31/2020,1,35.7,GROCERY,18 OZ
168,ipsum. Curabitur,National,SOFT DRINKS 12/18&15PK CAN CAR,SOFT DRINKS,,,11/1/2020,1,57.92,GROCERY,12 OZ
169,Quisque tincidunt pede,Private,NON-CRBNTD DRNKING/MNERAL WATE,WATER - CARBONATED/FLVRD DRINK,,,5/4/2021,1,77.94,GROCERY,2.50 GA
170,sit amet ornare lectus,Private,HOT MUSTARD/SPECIALTY MUSTAR,CONDIMENTS/SAUCES,,,12/20/2020,1,34.24,GROCERY,12 OZ
171,eros,Private,CAKES: ANGEL FDS/CKE ROLLS,CAKES,,,10/2/2020,1,76.73,PASTRY, 
172,"suscipit, est ac",National,CANDY BARS (SINGLES)(INCLUDING,CANDY - CHECKLANE,,,8/6/2020,1,63.9,DRUG GM,1.625 OZ
173,et arcu imperdiet,National,FRZN BREAKFAST PASTRY,FRZN BREAKFAST FOODS,,,4/6/2021,1,56.67,GROCERY,11.5 OZ
174,imperdiet ornare. In,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,5/14/2021,1,66.54,GROCERY,24 OZ
175,malesuada fames ac,Private,NON DAIRY CREAMER: DRY,COFFEE,,,7/19/2020,1,80.33,GROCERY,6 OZ
176,ut cursus,National,DESIGNER PAPER: MEDIUM WEIGHT,PAPER HOUSEWARES,,,10/30/2020,1,43,GROCERY,40 CT
177,purus ac tellus. Suspendisse,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,4/28/2021,1,57.1,GROCERY,24 OZ
178,nonummy ipsum non arcu. Vivamus,National,SPICES & SEASONINGS,SPICES & EXTRACTS,,,1/5/2021,1,23.62,GROCERY,4 OZ
179,Morbi quis urna. Nunc,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,8/6/2020,1,26.29,GROCERY,20 OZ
180,"porttitor vulputate, posuere vulputate,",Private,COTTAGE CHEESE,MILK BY-PRODUCTS,,,8/17/2020,1,9.23,GROCERY,24 OZ
181,lobortis risus. In mi,Private,LINAMENTS,FIRST AID PRODUCTS,,,8/1/2020,1,60.48,DRUG GM,32 OZ
182,velit justo nec ante. Maecenas,National,NEWSPAPER,NEWSPAPER,,,5/13/2021,1,8.88,DRUG GM, 
183,"varius orci, in consequat enim",National,SNACK CRACKERS,CRACKERS/MISC BKD FD,,,11/11/2020,1,98.44,GROCERY,8 OZ
184,magna. Duis dignissim tempor arcu.,Private,COOKIES: REGULAR,COOKIES,,,12/22/2020,1,57.13,PASTRY, 
185,in consectetuer ipsum nunc,Private,PASTA/GRAIN SALADS - PREPACK,SALADS/DIPS,,,10/11/2020,1,12.94,DELI,16 OZ
186,Phasellus in felis. Nulla tempor,National,TORTILLA/NACHO CHIPS,BAG SNACKS,,,2/1/2021,1,13.62,GROCERY,13 OZ
187,imperdiet dictum magna. Ut tincidunt,National,BLENDED JUICE&COMBINATIONS (OV,CANNED JUICES,,,9/23/2020,1,1.41,GROCERY,46 OZ
188,augue. Sed,National,CANDY BARS (SINGLES)(INCLUDING,CANDY - CHECKLANE,,,3/8/2021,1,26.92,DRUG GM,1.4 OZ
189,"diam lorem, auctor quis,",National,CANDY BARS (SINGLES)(INCLUDING,CANDY - CHECKLANE,,,10/8/2020,1,97.53,DRUG GM,1.6 OZ
190,sit,National,BUTTER,BUTTER,,,9/27/2020,1,19.55,GROCERY,16 OZ
191,Curae Phasellus ornare. Fusce mollis.,Private,FLUID MILK WHITE ONLY,FLUID MILK PRODUCTS,,,3/25/2021,1,11.08,GROCERY, 
192,"non, feugiat nec, diam. Duis",Private,HAMBURGER BUNS,BAKED BREAD/BUNS/ROLLS,,,2/27/2021,1,97.79,GROCERY,@    18 OZ
